"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"277",2018,"New York","Percent","15,945,017","62.9%","59.6%","3.1%","0.1%","37.1%",5,"8,294,760","58.6%","55.8%","0.5%","5.7%","5.8%","2.2%","9.9%","5.8%","2.8%","8.0%","12.3%","27.9%","9.5%","4.9%","4.7%","7,367,015","6.8%","4.9%","8.6%","7.8%","10.5%","15.2%","11.9%","15.6%","8.0%","10.7%","(X)",NA,1250504,"",19635889
"278",2018,"New York","Estimate","15,945,017","10,026,845","9,504,716","499,801","22,328","5,918,172",NA,"8,294,760","4,862,276","4,630,808","50,480","545,896","551,379","205,014","941,072","555,380","266,579","757,363","1,166,509","2,647,464","905,696","467,645","444,239","7,367,015","503,909","357,629","636,681","571,095","773,212","1,122,481","879,308","1,152,035","585,743","784,922","67,844",100422,1250504,"Above",19635889
"279",2018,"Rhode Island","Percent","881,487","63.8%","59.8%","3.5%","0.5%","36.2%",5.5,"456,469","60.1%","57.4%","0.5%","5.5%","10.9%","2.2%","11.7%","4.2%","1.4%","7.0%","10.5%","27.3%","10.9%","4.1%","3.9%","406,573","6.8%","5.2%","8.4%","7.9%","10.8%","17.3%","12.1%","17.1%","7.2%","7.0%","(X)",NA,80731,"",19635889
"280",2018,"Rhode Island","Estimate","881,487","562,393","527,497","30,862","4,034","319,094",NA,"456,469","274,438","261,833","2,801","28,801","57,469","11,487","61,476","22,007","7,390","37,089","55,389","143,814","57,497","21,846","20,431","406,573","27,723","21,024","34,296","32,198","43,907","70,539","49,257","69,583","29,440","28,606","64,340",86601,80731,"Above",19635889
"281",2018,"Virginia","Estimate","6,857,913","4,482,124","4,180,915","183,221","117,988","2,375,789",NA,"3,517,560","2,124,545","2,013,774","39,008","286,162","294,616","70,856","423,982","194,452","76,293","253,063","653,649","923,908","372,216","219,960","372,750","3,175,524","166,161","115,412","236,123","236,768","357,387","517,280","406,431","531,029","267,953","340,980","72,577",100884,552041,"Above",19635889
"282",2018,"Virginia","Percent","6,857,913","65.4%","61.0%","2.7%","1.7%","34.6%",4.2,"3,517,560","60.4%","57.2%","0.9%","6.8%","7.0%","1.7%","10.1%","4.7%","1.8%","6.1%","15.6%","22.1%","8.9%","5.3%","8.9%","3,175,524","5.2%","3.6%","7.4%","7.5%","11.3%","16.3%","12.8%","16.7%","8.4%","10.7%","(X)",NA,552041,"",19635889
"283",2018,"North Carolina","Estimate","8,352,567","5,216,053","4,870,838","254,808","90,407","3,136,514",NA,"4,341,785","2,498,009","2,360,455","67,349","334,687","596,739","113,365","552,903","228,455","84,364","312,896","541,936","1,102,451","476,976","249,354","209,363","4,011,462","259,160","196,205","413,741","411,162","572,724","730,350","487,763","521,908","192,509","225,940","53,855",76693,563122,"Below",19635889
"284",2018,"North Carolina","Percent","8,352,567","62.4%","58.3%","3.1%","1.1%","37.6%",5,"4,341,785","57.5%","54.4%","1.4%","6.9%","12.3%","2.3%","11.4%","4.7%","1.7%","6.4%","11.1%","22.6%","9.8%","5.1%","4.3%","4,011,462","6.5%","4.9%","10.3%","10.2%","14.3%","18.2%","12.2%","13.0%","4.8%","5.6%","(X)",NA,563122,"",19635889
"285",2018,"South Carolina","Estimate","4,105,778","2,475,682","2,315,748","128,847","31,087","1,630,096",NA,"2,139,047","1,203,916","1,132,967","18,391","158,238","310,636","50,458","274,323","119,723","35,403","138,332","242,175","508,708","235,041","119,166","105,154","1,927,991","146,174","98,335","204,322","204,676","263,424","357,888","240,687","235,121","89,476","87,888","52,306",72742,239978,"Below",19635889
"286",2018,"South Carolina","Percent","4,105,778","60.3%","56.4%","3.1%","0.8%","39.7%",5.3,"2,139,047","56.3%","53.0%","0.8%","6.8%","13.4%","2.2%","11.8%","5.2%","1.5%","6.0%","10.5%","22.0%","10.1%","5.1%","4.5%","1,927,991","7.6%","5.1%","10.6%","10.6%","13.7%","18.6%","12.5%","12.2%","4.6%","4.6%","(X)",NA,239978,"",19635889
"287",2018,"Washington","Estimate","6,052,827","3,908,438","3,692,600","166,229","49,609","2,144,389",NA,"3,044,632","1,796,787","1,715,254","95,932","255,141","350,875","92,909","421,357","201,410","76,419","194,379","504,490","797,249","353,006","167,796","181,637","2,895,575","134,537","87,576","198,972","205,177","331,819","505,962","390,219","511,881","247,929","281,503","74,073",99762,366296,"Above",19635889
"288",2018,"Washington","Percent","6,052,827","64.6%","61.0%","2.7%","0.8%","35.4%",4.3,"3,044,632","59.0%","56.3%","2.6%","6.9%","9.5%","2.5%","11.4%","5.5%","2.1%","5.3%","13.7%","21.6%","9.6%","4.5%","4.9%","2,895,575","4.6%","3.0%","6.9%","7.1%","11.5%","17.5%","13.5%","17.7%","8.6%","9.7%","(X)",NA,366296,"",19635889
"289",2018,"North Dakota","Estimate","601,874","418,771","400,818","11,691","6,262","183,103",NA,"293,132","189,215","183,561","38,417","24,743","27,951","13,127","45,560","23,777","4,420","23,646","25,788","106,818","30,282","16,129","20,160","319,355","18,381","12,933","25,720","26,063","41,996","58,375","43,633","55,809","20,234","16,211","63,837",82435,53285,"Below",19635889
"290",2018,"North Dakota","Percent","601,874","69.6%","66.6%","1.9%","1.0%","30.4%",2.8,"293,132","64.5%","62.6%","9.6%","6.2%","7.0%","3.3%","11.4%","5.9%","1.1%","5.9%","6.4%","26.7%","7.6%","4.0%","5.0%","319,355","5.8%","4.0%","8.1%","8.2%","13.2%","18.3%","13.7%","17.5%","6.3%","5.1%","(X)",NA,53285,"",19635889
"291",2018,"South Dakota","Percent","690,183","68.2%","65.7%","2.0%","0.4%","31.8%",3,"345,580","64.8%","63.2%","6.3%","7.0%","10.1%","2.9%","11.3%","4.4%","1.5%","6.9%","6.7%","24.9%","8.6%","4.7%","4.8%","345,449","5.7%","4.4%","8.4%","11.0%","15.0%","18.9%","14.8%","13.7%","4.3%","3.8%","(X)",NA,53365,"",19635889
"292",2018,"South Dakota","Estimate","690,183","470,490","453,723","13,845","2,922","219,693",NA,"345,580","224,054","218,470","28,525","31,755","45,924","13,114","51,461","20,012","6,861","31,220","30,219","112,933","38,884","21,181","21,634","345,449","19,810","15,170","29,157","37,902","51,952","65,438","51,063","47,246","14,742","12,969","56,274",74046,53365,"Below",19635889
"293",2018,"West Virginia","Estimate","1,487,470","788,509","741,817","45,639","1,053","698,961",NA,"756,552","371,816","352,316","27,011","42,290","60,048","14,925","95,354","43,202","10,863","28,012","61,042","202,197","71,606","31,632","53,635","734,703","66,891","46,072","97,989","87,296","107,538","128,689","72,450","83,187","23,453","21,138","44,097",61707,140103,"Below",19635889
"294",2018,"West Virginia","Percent","1,487,470","53.0%","49.9%","3.1%","0.1%","47.0%",5.8,"756,552","49.1%","46.6%","3.6%","5.7%","8.1%","2.0%","12.9%","5.8%","1.5%","3.8%","8.2%","27.3%","9.7%","4.3%","7.2%","734,703","9.1%","6.3%","13.3%","11.9%","14.6%","17.5%","9.9%","11.3%","3.2%","2.9%","(X)",NA,140103,"",19635889
"295",2018,"Ohio","Estimate","9,407,612","5,938,035","5,637,441","292,570","8,024","3,469,577",NA,"4,845,324","2,856,960","2,726,844","55,716","311,464","847,686","144,410","642,851","300,083","88,446","358,994","551,829","1,361,986","512,223","249,895","211,858","4,685,447","330,132","220,602","458,284","460,228","630,305","855,704","603,015","662,006","238,864","226,307","56,111",76151,644733,"Below",19635889
"296",2018,"Ohio","Percent","9,407,612","63.1%","59.9%","3.1%","0.1%","36.9%",4.9,"4,845,324","59.0%","56.3%","1.0%","5.5%","15.0%","2.6%","11.4%","5.3%","1.6%","6.4%","9.8%","24.2%","9.1%","4.4%","3.8%","4,685,447","7.0%","4.7%","9.8%","9.8%","13.5%","18.3%","12.9%","14.1%","5.1%","4.8%","(X)",NA,644733,"",19635889
"297",2018,"Tennessee","Estimate","5,431,337","3,330,964","3,133,153","181,951","15,860","2,100,373",NA,"2,816,285","1,598,801","1,505,810","28,473","204,744","412,442","74,261","363,023","211,817","46,035","185,598","321,396","702,065","304,309","148,661","130,329","2,603,140","186,723","135,643","277,586","272,146","362,317","478,066","322,410","333,330","115,243","119,676","52,375",73456,322064,"Below",19635889
"298",2018,"Tennessee","Percent","5,431,337","61.3%","57.7%","3.4%","0.3%","38.7%",5.5,"2,816,285","56.8%","53.5%","0.9%","6.5%","13.2%","2.4%","11.6%","6.8%","1.5%","5.9%","10.3%","22.4%","9.7%","4.7%","4.2%","2,603,140","7.2%","5.2%","10.7%","10.5%","13.9%","18.4%","12.4%","12.8%","4.4%","4.6%","(X)",NA,322064,"",19635889
"299",2018,"Wisconsin","Estimate","4,693,498","3,096,515","2,993,716","98,228","4,571","1,596,983",NA,"2,376,478","1,483,540","1,440,241","64,550","177,241","546,621","75,584","322,856","142,766","49,157","178,246","252,138","710,764","245,980","126,512","101,301","2,371,960","118,890","104,567","208,909","225,042","319,858","457,341","328,085","369,526","127,171","112,571","60,773",79656,336409,"Below",19635889
"300",2018,"Wisconsin","Percent","4,693,498","66.0%","63.8%","2.1%","0.1%","34.0%",3.2,"2,376,478","62.4%","60.6%","2.2%","5.9%","18.3%","2.5%","10.8%","4.8%","1.6%","6.0%","8.4%","23.7%","8.2%","4.2%","3.4%","2,371,960","5.0%","4.4%","8.8%","9.5%","13.5%","19.3%","13.8%","15.6%","5.4%","4.7%","(X)",NA,336409,"",19635889
"301",2018,"Oklahoma","Estimate","3,089,116","1,891,713","1,791,438","81,669","18,606","1,197,403",NA,"1,576,242","883,666","842,362","80,311","122,588","174,633","42,288","208,426","97,434","25,328","99,930","158,234","396,974","178,294","97,835","109,163","1,485,310","105,449","76,081","159,237","155,383","215,409","279,585","182,783","184,080","64,313","62,990","51,924",71632,196023,"Below",19635889
"302",2018,"Oklahoma","Percent","3,089,116","61.2%","58.0%","2.6%","0.6%","38.8%",4.4,"1,576,242","56.1%","53.4%","4.5%","6.8%","9.7%","2.4%","11.6%","5.4%","1.4%","5.6%","8.8%","22.2%","10.0%","5.5%","6.1%","1,485,310","7.1%","5.1%","10.7%","10.5%","14.5%","18.8%","12.3%","12.4%","4.3%","4.2%","(X)",NA,196023,"",19635889
"303",2018,"Texas","Percent","22,117,923","64.5%","61.0%","3.1%","0.4%","35.5%",4.9,"11,227,881","57.9%","54.9%","2.9%","8.8%","8.4%","2.7%","11.3%","6.1%","1.6%","6.6%","11.6%","21.5%","9.4%","5.2%","3.9%","9,776,083","6.5%","4.3%","9.0%","9.1%","12.7%","17.7%","12.3%","14.8%","6.5%","7.2%","(X)",NA,1641985,"",19635889
"304",2018,"Texas","Estimate","22,117,923","14,266,767","13,491,168","694,485","81,114","7,851,156",NA,"11,227,881","6,501,460","6,163,329","394,429","1,188,835","1,126,931","359,631","1,530,829","821,118","217,728","889,961","1,566,465","2,902,134","1,263,471","697,821","531,815","9,776,083","632,765","416,618","881,450","893,469","1,239,725","1,730,336","1,197,757","1,445,411","632,119","706,433","60,629",85780,1641985,"Above",19635889
"305",2018,"Wyoming","Estimate","460,122","302,831","287,436","11,684","3,711","157,291",NA,"226,982","137,700","131,826","30,534","25,950","12,001","6,481","30,182","17,385","3,946","11,644","16,135","70,460","31,586","13,132","18,000","230,252","12,176","7,762","21,536","22,800","30,001","42,006","31,893","37,310","13,524","11,244","61,584",81935,32510,"Below",19635889
"306",2018,"Wyoming","Percent","460,122","65.8%","62.5%","2.5%","0.8%","34.2%",3.9,"226,982","60.7%","58.1%","10.6%","9.0%","4.2%","2.3%","10.5%","6.0%","1.4%","4.1%","5.6%","24.5%","11.0%","4.6%","6.3%","230,252","5.3%","3.4%","9.4%","9.9%","13.0%","18.2%","13.9%","16.2%","5.9%","4.9%","(X)",NA,32510,"",19635889
